"column_name","data_type","character_maximum_length","is_nullable"
"id","integer",NULL,"NO"
"uuid","uuid",NULL,"NO"
"user_id","integer",NULL,"NO"
"layer_id","integer",NULL,"NO"
"geom_type","character varying",255,"YES"
"calculated_area","numeric",NULL,"YES"
"dimension_2d_3d","character varying",50,"NO"
"parent_id","ARRAY",NULL,"YES"
"date_created","timestamp with time zone",NULL,"NO"
"date_modified","timestamp with time zone",NULL,"YES"
"status","boolean",NULL,"NO"
"su_id ","integer",NULL,"YES"
"ref_ids","integer",NULL,"YES"
"org_id","integer",NULL,"NO"
"reference_coordinate","character varying",50,"YES"
"geom","USER-DEFINED",NULL,"NO"
"gndid","integer",NULL,"YES"
"legal_area","numeric",NULL,"YES"
"legal_area_unit","character varying",20,"YES"
"gnd_id","integer",NULL,"YES"
"su_id","integer",NULL,"YES"
