id,name,status,v_src_m3,v_out_m3,dv_m3,dv_pct,v_naive_stored_units,v_proj_m3,dv_proj_pct,proj_disp_mm,max_vertex_disp_mm,src_tris,out_tris,src_verts,out_verts,src_watertight,src_unpaired_edges,out_watertight,out_unpaired_edges
0BTBFw6f90Nfh9rP1dlXrr,A101,ok,40.241254,40.241254,0.0,0.0,3.2736039116586996e-09,39.973444,-0.66551,36.021,0.0,60,60,32,32,True,0,True,0
0BTBFw6f90Nfh9rP1dlXri,A201,ok,-114.950038,-114.950038,0.0,-0.0,-0.0065251917203883805,-114.399776,-0.478697,22.084,0.0,60,60,32,32,True,0,True,0
0BTBFw6f90Nfh9rP1dl_3P,B104,ok,8.177445,8.177445,0.0,0.0,6.6531094064971e-10,8.123022,-0.665519,7.431,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dl_3Q,B101,ok,40.241254,40.241254,0.0,0.0,3.2738832262728408e-09,39.973437,-0.665527,36.024,0.0,60,60,32,32,True,0,True,0
0BTBFw6f90Nfh9rP1dl_3G,B201,ok,-71.776646,-71.776646,-0.0,0.0,-0.006525188207571092,-71.553047,-0.31152,22.099,0.0,60,60,32,32,True,0,True,0
2gRXFgjRn2HPE$YoDLX3FV,A205,ok,3.672064,3.672064,-0.0,-0.0,2.9875473066207547e-10,3.647626,-0.665522,3.333,0.0,12,12,8,8,True,0,True,0
2gRXFgjRn2HPE$YoDLX3FC,B205,ok,3.611209,3.611209,-0.0,-0.0,2.937705498061322e-10,3.587176,-0.665515,3.282,0.0,12,12,8,8,True,0,True,0
10mjSDZJj9gPS2PrQaxa3z,A105,ok,20.796062,20.796062,-0.0,-0.0,1.6919031434105974e-09,20.657661,-0.665517,13.39,0.0,32,32,18,18,True,0,True,0
10mjSDZJj9gPS2PrQaxa4o,B105,ok,20.796062,20.796062,0.0,0.0,1.6918544252196577e-09,20.65766,-0.66552,13.022,0.0,28,28,16,16,True,0,True,0
0pNy6pOyf7JPmXRLgxs3sW,R301,ok,405.453468,405.453468,0.0,0.0,3.298556999359788e-08,402.755101,-0.665518,57.519,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dl_CZ,B102,ok,71.39069,71.39069,0.0,0.0,5.807886930022443e-09,70.915563,-0.66553,16.786,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dlXr2,A102,ok,71.39069,71.39069,0.0,0.0,5.8080006174338885e-09,70.91558,-0.665506,16.786,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dlXr$,A103,ok,33.512179,33.512179,0.0,0.0,2.726414442982442e-09,33.289151,-0.665513,8.328,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dl_3S,B103,ok,33.512179,33.512179,0.0,0.0,2.7264144429835716e-09,33.289148,-0.665524,8.328,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dl_3C,B204,ok,12.301076,12.301076,-0.0,-0.0,1.0008336538359108e-09,12.21921,-0.665519,10.587,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dlXre,A204,ok,12.240221,12.240221,-0.0,-0.0,9.958494729438278e-10,12.15876,-0.665518,10.536,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dlXru,A104,ok,8.177445,8.177445,0.0,0.0,6.652730453623968e-10,8.123023,-0.665518,7.431,0.0,12,12,8,8,True,0,True,0
0BTBFw6f90Nfh9rP1dl_39,B203,ok,56.893582,56.893582,0.0,0.0,4.6285213014376466e-09,56.514939,-0.665529,31.924,0.0,36,36,20,20,True,0,True,0
0BTBFw6f90Nfh9rP1dlXrc,A202,ok,56.893582,56.893582,0.0,0.0,4.6285970889765075e-09,56.514939,-0.665529,31.282,0.0,32,32,18,18,True,0,True,0
0BTBFw6f90Nfh9rP1dl_3A,B202,ok,56.893582,56.893582,0.0,0.0,4.628483403981929e-09,56.514951,-0.665508,31.279,0.0,32,32,18,18,True,0,True,0
0BTBFw6f90Nfh9rP1dlXrb,A203,ok,56.893582,56.893582,0.0,0.0,4.628597088542827e-09,56.51495,-0.665508,31.924,0.0,36,36,20,20,True,0,True,0
