model_id,volume_id,v_author_m3,v_harness_m3,diff_pct
RA-01,0v_Ukvk3H8$ft080mz_3pK,22.124716,22.124716,0.0
RA-01,3J6Xtu8ADFswR9Oak1jINL,11.242289,11.242289,-1e-06
RA-01,0lIAUK79v1Qgtpm$NL4pX8,11.242289,11.242289,-1e-06
RA-01,196SywVbz0lxaUbAB86s5P,11.242289,11.242289,-1e-06
RA-01,1guNLf$yP4XxVnvjjALBk5,22.124716,22.124716,0.0
RA-01,0QycqvFiTDUxZBTB$GNUm3,72.396351,72.396351,0.0
RA-01,3U_MvK4Hn5v9qQ4x1xKj$X,22.124716,22.124716,0.0
RA-01,3FzDDNoyP6eu6K83qp90ZI,72.396351,72.396351,0.0
RA-01,0JepDr0cr6uOyUDL1uH8R3,22.124716,22.124716,0.0
RA-01,2qWO03rLv6Ix3eFbAYbYRa,72.396351,72.396351,0.0
RA-01,2T_M6_XR187OavaBkY$qZE,11.242289,11.242289,-1e-06
RA-01,3T9X0t5i5CZwKzfxPnEmuw,72.396351,72.396351,0.0
RA-01,16BKatYNb0095YK2zxt57p,11.242289,11.242289,-1e-06
RA-01,3PSyXEkf5E88ZNzHR8bi6k,22.124716,22.124716,0.0
RA-01,2wq30flQf78hZ21neDLFBq,72.396351,72.396351,0.0
RA-01,1KKIXTWdT8heHZ3hsSZwZA,22.124716,22.124716,0.0
RA-01,3YQAkO3i541gbaBZyjgVtE,11.242289,11.242289,-1e-06
RA-01,0jt6xzLS16APu2df6TC4F0,11.242289,11.242289,-1e-06
RA-01,2k$JIFVGf7Ixx06X27j0Te,11.242289,11.242289,-1e-06
RA-01,2MUluHIS19hxl5xyeFBL$q,22.124716,22.124716,0.0
RA-01,03W07_Rff9HAdbckCRLIfj,72.396351,72.396351,0.0
RA-01,3SkZZMPuT7$89jqYZqSHf1,22.124716,22.124716,0.0
RA-01,07DA0wYQfBeAEb4qwJTSTs,72.396351,72.396351,0.0
